Course,Discipline,policy_text,Contributor,Rights for Reuse,Institution,word_count,category
ENGL 131 X4: Writing About Technology,Writing,"Do not use generative artificial intelligence to write for you. This course is an opportunity to get feedback on your writing in a small setting. Outsourcing your writing to generative artificial intelligence services like ChatGPT, Gemini, Copilot, Perplexity, and Claude violates academic integrity policies, slows your development as a college-level writer, and silences your voice. (Not to mention that a conversation with ChatGPT can consume 16 ounces of fresh water, the size of the water bottle that you brought to class.)

You are welcome to use generative artificial intelligence for research to identify a source, summarize an article, or format a citation. But be aware that it carries risks: models can “hallucinate” incorrect information; sources that are not cited can put you at risk of plagiarism; and groups that are not represented in that model’s training data will be excluded, which can bias your research.

As UW president Ana Mari Cauce noted in a recent interview, “the toothpaste is out of the tube” and artificial intelligence policies need to evolve. But until those policies change – an outcome that you can influence through your work in this course – do not use generative artificial intelligence to write for you.",Anonymous,Public Domain,University of Washington,199,Humanities
"ENGL102, ENGL101, ENGL235",Writing,"I view writing as an epistemic activity: the act of writing leads to the creation or discovery of knowledge, both from society and from the self. I believe that writing is a learning activity that is “crucial to the cognitive and social development of learners and writers” (“Statement on Artificial Intelligence Writing Tools in Writing Across the Curriculum Settings” 2023). Because I view writing as an act of knowledge production, I likewise see the wholesale use of artificial intelligence text generators as a plagiaristic circumvention of the important act of using language and writing to create novel insights or discover important ideas during the creative process. 

While I recognize that using AI-generated writing as a substitute for student writing constitutes academic dishonesty, I also recognize that some AI tools can assist students (and faculty) in the broader writing process. As such, I support faculty that choose to incorporate critical AI-based activities to help students more thoughtfully engage in acts like invention and revision while also recognizing that each individual instructor has the autonomy, authority, and expertise about how, when, and why they use AI-tools in their teaching practice(s). In my classes, I will let you know what assignments are eligible for augmenting with AI and which are to be completed without the assistance of AI. 

When using AI in writing pedagogy, I also prioritize a critical stance toward these tools to highlight not only their potentialities in assisting writing as an epistemic process but also their shortcomings and limitations. By foregrounding the ethical considerations of AI writing tool use (e.g., intellectual property, amorality, probability vs. reality) in conversations with my students and with each other, I advocate that any adoption of AI technologies in writing courses will be accompanied by a critical consideration of who the tools serve, whose language they represent, and who/what is erased in algorithm-assisted writing practices. 

Undoubtedly, AI-tools will continue to be used by students and some instructors in the months and years ahead. As a faculty member, I hope to engage in thoughtful pedagogical investigation and reflection around how and why we use these technologies while also recognizing that - at its heart - writing remains an epistemic activity bound to particular situations, audiences, and contexts. Because the act of writing reveals and produces knowledge that is situated, rhetorically attuned, and ethically considered, it cannot be supplanted by artificial intelligence tools and technologies now or any time in the near future. 



Works Cited
AWAC. (2023). Statement on Artificial Intelligence Writing Tools in Writing Across the         Curriculum Settings. Association for Writing across the Curriculum. Retrieved March 5, 2023, from https://wacassociation.org/resource/statement-on-ai-writing-tools-in-wac/",Justin Lewis,Creative Commons 4.0 By Noncommerical & Share Alike,Olympic College,434,Humanities
"ENGL3362 ""Crafting Activism: Democracy, Composition, and DIY Rhetorics"" (upper division elective); First Year Writing Seminar (required first-year composition course)",Writing,"This is the current state of a draft policy: While Artificial Intelligence has been around us for some time (map-based navigation and virtual assistants— just to name a few!), the release of Generative AI (GenAI) like Chat GPT has caused quite a stir, especially in the world of education. GenAI does not replace human experience and has some known issues:
GenAI has a tendency to “hallucinate,” making up information that is incomplete, incorrect, or nonexistent. 
GenAI reiterates bias and is prone to discriminatory, non-inclusive language. 

For this reason, you should assume that every fact or information it gives you is wrong. Make it a habit to verify the information that it gives you.  

Each of your professors might feel differently about using GenAI, but for the purposes of this class, here are some guidelines on using AI in your work. Please note, these are “emerging best practices,” and will likely be refined as time goes on.

In Professor Noël’s class, the use of GenAI is permitted for the following activities:
Brainstorming and refining your ideas
Fine-tuning research questions 
Drafting an outline to organize your thoughts
Checking grammar and style

You may not use GenAI to produce an assignment in its entirety. 

In Syllabus: Notes from an Accidental Professor, Lynda Barry, when discussing the quality of lines that she sees in student work at the beginning of her class says, “There is something beautiful in the lines made by people who stopped drawing a long time ago” (26). She continues, 
“But what if the way kids draw— that kind of line that we call ‘childish’-- what if that is what a line looks like when someone is having an experience by hand? A live wire! There is an aliveness in these drawings that can’t be faked, and when I look at them, that aliveness seems to come into me. I’m glad to see and feel them. Real aliveness of line is hard to come by. When someone learns to draw— to render— that goes— the aliveness— And it’s what some artists spend their whole lives trying to get back” (31-32).

What Lynda Barry calls “aliveness,” we often call “voice” in writing. In this class, I care more about your voice, the “aliveness” of your writing, than I do about polish, perfection, or sheen. GenAI tools are very good at producing writing that is technically proficient, that has a sort of “sheen,” but aliveness? That can only come from you. Like Lynda Barry’s students, you come to this class with varying backgrounds and skill levels. Depending on your previous educational experience, you likely have adopted habits and mindsets about writing that may or may not serve you at this point in your life. Part of our work together is to figure out what to keep and what to rebuild. Central to this process is your willingness to engage with your own writing voice, to put your unique “aliveness” on the page or into pixels. That’s work that will allow you to learn and grow, and it’s work that only you can do.",Noël Ingram,Creative Commons 4.0 By Noncommerical,Boston College,510,Humanities
"English 100, 112, 313",Writing,"An Affirmation of Humanity: God created humans in his image, and gifted us with creativity and language. Although we acknowledge that AI systems, such as ChatGPT, can play a role in generating certain forms of text and symbols, we hold that in most cases writing is a creative form of human expression that involves inquiry, intent, imagination, problem-solving, and meaning-making. In the EWP, we understand these processes to be uniquely human endeavors and will therefore ask you to refrain from using AI, unless granted permission by your instructor for a particular reason. In some cases, using AI to help complete writing assignments may violate Biola’s Academic Honesty policy. While this issue requires serious ethical consideration, it is not our role to police our students but rather to cultivate an environment of mutual trust and support, in which they can grow and thrive.",Elmar Hashimov and English Writing Program Team,,Biola University,142,Humanities
"English 101, English 105, English 205",Writing,"AI Policy - Artificial Intelligence (AI) is one of the emerging web3 tools that promises to shake up both the academic and professional landscape. Regardless of how you feel about it, learning to use it well is an emerging and valuable skill. That being said, you can expect to use AI in my classes (ChatGPT and Midjourney AI, at a minimum). Please be aware:

If you provide minimum prompts, you will get low quality results. You will need to refine your prompts in order to achieve better outcomes. This will take work.

Don’t trust anything AI (ChatGPT) says. Assume facts it gives you are wrong unless you know the answer or can check it with another source. You will be responsible for any errors or omissions provided by the tool. It works best for topics you understand.

Any use of AI tools must be acknowledged. Please be sure to include a paragraph at the end of any assignment that uses AI explaining what you used it for and the specific prompts you used to get your results. Failure to do so is in violation of academic honesty policies.",Rodrigo Gomez,,San Diego Miramar College,188,Humanities
English 112 - Composition 2,Writing,"MINIMUM TECHNOLOGY AND SKILLS REQUIREMENT
You will need basic computer skills and should be comfortable using a word processing program, browsing for files, and copying and pasting between programs. You will need a computer that connects to high-speed Internet. Your username and password are required for access. If you do not own a computer or if your computer malfunctions during the term, you will be expected to identify a computer to use. Technology issues are not an excuse for missed or late work.

An integral component in our writing process this term will be the exploration and wielding of a large language model, or new generative technology from Open AI, called ChatGPT. This new technology is appropriate for our learning community in that it offers users generative capabilities free of charge. Please do not pay for ChatGPT, but do sign in and bookmark the page in your learning machine. We will want to pay attention to the way access to this technology changes over time. Using the technology repeatedly allows the large language model to use and augment the writing that you do more effectively over time. ChatGPT is becoming a (free?) tool, like word processing, social media apps, and digital search engines. Thinking and writing with generative technology like this strengthens our critical thinking skills, extends our writing as a process, and augments our information literacy, helping to make us more comfortable and effective in content production. In addition, ChatGPT is relevant in that it is a way to generate information around user-specific ideas for this learning community ground in reading, writing, thinking, research, and argumentation. Our use of ChatGPT may not be relevant to your other classes, or learning communities. Other faculty may not allow you to use generative technology, so I encourage you to ask the teacher and cite the tool if you are going to use it. We will be using the technology to help us generate and model bibliographies, annotations, outlines, and rhetorical or written arguments. We may well use the technology to demonstrate rhetorical shifts in voice, too. Generative technology as a tool is also relevant in the way it affords thinkers and writers opportunities to write as a collaborative process. What large language models produce is a thing like the thing you desire, but not the thing. As such, our use is relevant only as long as we are collaborating, editing, revising, and writing as a process; never copying, pasting, and submitting in place of our work. Moreover, Chat GPT is meaningful in both the content produced and its wide-spread application in the world today, especially in business. You have likely seen advertising for the merging of humans and artificial intelligence (or AI) from brands like fiverr.com or  Expedia, and you’ve seen advertising made with generative technology, like this one from Nestle. A great deal of content we are now seeing on the webs and in social media, both textual and visual, is produced by generative technology. This onslaught of content will change how we view digital content.     
 
This new technology has been widely accepted and asks critical questions around intellectual property. In the academic realm, we are also asking serious questions about academic integrity and ownership of the material we generate with this tool. In the fields of composition and literature, both the Modern Language Association (or MLA) and the American Psychological Association (or APA) affirm the use of generative technology and share ways to cite it. 
 
Finally, unlike static web pages to be accessed in search engines, this new tool produces material in ways that are like our own, human, organic ways of writing as a process. Generative technology is always already an extension of our own human production in the interwebs. As such it is relevant to our process of writing as a way to know.  However, as we have learned with the internet, the existence alone of a digital space does not make it reliable, true, correct, appropriate, or effective. We ought to use generative technology, like the internet, with caution and discretion. Through the application of generative technology across fifteen weeks in this learning community, learners will be able to wield the tech in support of critical writing with an emphasis on logical reasoning, in response to a wide range of texts.  Our use will include prompt engineering, sharing the results, and reflections on what our experience with the tool produces and means. You are already a better writer than ChatGPT.  Learning how to use the tools effectively will make you an even better writer, critical thinker, critical reader, researcher, and rhetorician.  

To have the best learning experience possible, please be sure you have access to Colorado Mesa University's recommended technology.",Brooke A. Carlson,Creative Commons 4.0 By,Colorado Mesa University,783,Humanities
English 295 Workplace Writing,Writing,"Artificial intelligence is emerging as an important force in many workplaces, and AI-enhanced writing tools are reshaping workplace writing processes in ways that we are only beginning to understand.

To address this quickly-evolving trend, our class will include several assignments that specifically ask you to use AI-enhanced writing tools and reflect on their effectiveness.

For other assignments, you should follow these guidelines:

Guidelines for using AI writing tools in English 295

1) Do NOT mindlessly replace your own intentional, purposeful writing with AI output or try to present an AI-generated text as your own writing. Copying  AI output directly into an assignment submission both short-circuits your learning process and violates UT's honor code, which states, “As a student of the University, I pledge that I will neither knowingly give nor receive any inappropriate assistance in academic work, thus affirming my own personal commitment to honor and integrity.”"""" 

2) If you choose to employ Ai writing tools  as a part of your own self-directed writing process (for example, to brainstorm ideas or generate drafts)  include the following statement in the comment section when you submit the assignment on Canvas:

 “I would like to acknowledge the use of [Generative AI Tool Name], a language model developed by [Generative AI Tool Provider], in the preparation of this assignment.  I used [Generative AI Tool Name]  in the following way(s)  [e.g., brainstorming, grammatical correction, citation, which portion of the assignment].”

3)   Fact check and critically evaluate all AI output before relying on it in any way, Beware that AI-output WILL include inaccurate information--that's simply how it works unless you’re doing closed prompting (making queries only about sources you provide in your prompt) and may  also generate text that is biased or inappropriate. 

4) if an assignment prompt specifically forbids the use of AI writing tools, do the work on your own.  Recognize that there is great value for you, as a learner, in working through the process of generating your own ideas and finding your own words. 

Enforcement of plagiarism policy

It is nearly impossible for instructors to discern an inappropriate use of AI writing tools, so I am counting your honest desire to have authentic learning experience--and your honor--to make sure these policies are enforced.

To monitor students' writing process on assignments that require self-generated text, I  reserve the right to ask the student to document and recount their writing process in an situations where suspect that  a student has intentionally used AI tools in ways that violate UT's honor code,  Therefore, you should take care to save drafts, notes, and other work that you have done to prepare your assignments, so that you can verify your work.  For some assignments, I may require students to prepare their assignments using google docs, which allow access to the document's history.  If substantial evidence of plagiarism is found, penalties may be applied consistent with Section 11.7 in the Student Code of Conduct",Laurie Knox,Creative Commons 4.0 By Noncommerical & Share Alike,University of Tennessee- Knoxville,486,Humanities
English Composition (1101 and 1102),Writing,"Policy on Use of Artificial Intelligence
English Composition II (Fall 2025)
Prof. David S. Weiss

Summary of Policy on Artificial Intelligence
You are allowed to use artificial intelligence (AI) in this class. All graded written assignments must include an acknowledgment of the use of AI describing its use, or lack of use. The use of AI is discouraged for first drafts and discussion posts. Determining the appropriate use of AI during the writing process is a matter of judgment. When in doubt, email Prof. Weiss with questions.

Policy Details
In this class, you may use AI to assist you in the writing process. You may not use it, however, to substitute for the critical thinking and initial drafting that allows you to express your personal views in your own distinct voice. To implement this general approach, the following policies will be applied:

Acknowledgment of the Use of Artificial Intelligence
All graded written assignments must include an acknowledgment of the use of AI, whether AI was used or not. The acknowledgment should have an underlined title “Acknowledgment of the Use of Artificial Intelligence,” and should appear after the body but before any list of works cited. The acknowledgment should include the following:

No AI Use: If no AI was used, state “No form of artificial intelligence was used during any stage of the research and writing process for this assignment.”
Name of AI Tool or Platform Used: If you used AI at any stage during the writing process, state what specific AI tools were used. Common tools include ChatGPT, Microsoft Copilot, Google Gemini, and Grammarly.
Description of Use of AI: Briefly describe how you used AI (e.g., brainstorming, outlining, revising, grammar suggestions). Be specific. Simply naming a tool is not enough. All forms of AI, including Grammarly, now include a wide range of potential uses. 
Link or Other Documentation of AI Use: Include either a link to any chat or, if no link is available, screenshots or copies of interactions.
Examples: Here are two examples of potential AI acknowledgments:
“I used Grammarly to suggest revisions to certain paragraphs. Screenshots are included with my submission.
“I used ChatGPT to help me brainstorm ideas for this essay, to suggest an outline, and to improve my grammar in the final version. Here is a link to the chat: Link to ChatGPT Chat.”

First Drafts and Informal Expressions of Opinions (Such as Discussion Posts)
Many assignments, such as first drafts and discussion posts, call for an informal expression of your opinion. Such assignments emphasize expressing your own views in your distinctive voice. Grammar and formatting are secondary. For these assignments, a submission that expresses your own views, but includes awkward wording or grammatical errors, is considered more effective than one that is grammatically correct but impersonal. Submissions that lack a clear personal voice may receive a lower grade. At the extreme, a submission that feels overly generic may be graded as a zero.

Consideration of Use of AI in Grading
Any use of AI that is fully disclosed is not considered cheating or a breach of academic integrity. Submissions where AI use is fully and honestly disclosed will be graded on their own merits in meeting the requirements of the assignment. Submissions where the use of AI appears inconsistent with the acknowledgment will be questioned before being graded and may, ultimately, have points deducted from the grade. In extreme cases, misrepresentations of the use of AI will be evaluated as a breach of academic integrity (see next item, below). 

Academic Integrity
The AI policy for this class is based on a high degree of trust – both my trust that you are fully disclosing your use of AI, and your trust that I will allow you to demonstrate that your use was fully disclosed. I pledge to give you every opportunity to demonstrate that you have fully and honestly disclosed any use of AI. With that in mind, I recommend that you read the article “What to Do When You’re Accused of AI Cheating.” I also encourage you to retain early drafts, or use tools such as “track changes” or a document history to document your writing process. While I will give you the opportunity to address questions surrounding your use of AI, the onus is on you to demonstrate the accuracy of your AI acknowledgment. Significant misrepresentations will be addressed as a breach of the “Student Code of Conduct”, as described in section 4.6.5 of the GGC Student Handbook. For further details, see GGC: Student Affairs.

Use of AI Detectors
While I do not rely entirely on AI detectors to accurately identify AI use, I may use some (for instance, Turnitin and GPTZero) to flag sections of submitted work that do not come across as reflecting a student’s individual voice.

Other Classes
Please note that this policy is specific to Prof. Weiss’s English Composition class. Check with other professors before using AI in their classes and make sure to adhere to their specific policies.

Acknowledgment of Use of Artificial Intelligence in Drafting This Policy
I used ChatGPT to assist me in drafting this policy statement. I requested suggestions for revising my policy statement from prior semesters, and for improving the wording and format of my initial draft for this semester. For a full version of the chat, see the following link: 
https://chatgpt.com/share/686ad384-0ebc-8013-9f2c-8e70d5c0faa4.",David Weiss,Public Domain,Georgia Gwinnett College,888,Humanities
"English writing and literature courses, Rhetoric and Professional Writing courses",Writing,"Artificial Intelligence Policy
This is an English course. You are required to do your own reading and writing for any and all assignments. AI is a fantastic tool that can be used for many different things, but any use of AI beyond the brainstorming stage of your writing will be treated as cheating and/or plagiarism, as an AI’s work is not your work, and will be dealt with according to course and university plagiarism and academic integrity policies.

If, at any time, it is suspected that you have utilized AI beyond the above allowances, your professor may ask to view your documents’ version histories to determine if you have produced your own work, rather than copying and pasting from an AI program or another source. Until the version history is checked, no grade will be given. If this is delayed by the student until the end of the semester, the assignment in question will be given a 0. As stated in the tech policy, create and submit your work using Google Docs",Taylor Mata,Creative Commons 4.0 By,"Delta College, Saginaw Valley State University",172,Humanities
ENGLWRIT 112,Writing,"ChatGPT and other generative AI usage policy
The University prohibits the usage of AI for schoolwork. However, I have made an exception and I expect you to use generative AI tools (also called foundational models). Some examples include ChatGPT, Claude, Bard, etc.

Learning to use AI is an emerging skill and I would like to prepare you for your future, and I am happy to meet and help with these tools during office hours or after class.

However, if you do use AI to generate content, you must show:
The prompts you used to generate text

The original generated text by ChatGPT or such tools

The changes you made to the generated text with your annotations

The factualness in the form of scientific references in APA or MLA format


When you use AI as an idea generator, you may not use (meaning, copy – paste) entire sentences or paragraphs of the AI-generated answers.

You will be responsible for any inaccurate, biased, offensive, or otherwise unethical content you submit regardless of whether it originally comes from you or a foundation model. If you use a foundation model, its contribution must be acknowledged in your work; you will be penalized for using a foundation model without acknowledgement.

Having said all these disclaimers, the use of foundational models is encouraged, as it may make it possible for you to submit assignments with higher readability and quality.

Any submitted work without annotations and citations will be treated as plagiarism.",Sai Gattupalli,Creative Commons 4.0 By Noncommerical & Share Alike,University of Massachusetts Amherst,245,Humanities
Freshman Composition ,Writing,"Artificial Intelligence:
Submitting work containing any content generated by artificial intelligence (AI) when not explicitly directed to do so by the instructor will be considered an act of academic dishonesty.",Elizabeth Vincelette,,Old Dominion University,30,Humanities
Integrated Reading & Writing,Writing,"The Developmental English Program encourages the use of AI as a tool to assist students in the writing process. However, the use of ChatGPT, Claude2, or other AI in your writing must be declared in a short statement following the assignment. Please include which parts of your paper were AI-generated.
Any suspected use of AI assisted writing without declaration will be immediately referred to the Dean of Students, which could result in disciplinary action. Professors will not be responsible for determining if content was written by AI, and so cannot give second chances if academic dishonesty has occurred.

Students are responsible for the content of their written assignments even if it was written by AI—that means that all information must be accurate, logical, and appropriately detailed. Any errors committed by AI will be attributed to the student and graded accordingly",Emily Durham,Creative Commons 4.0 By Noncommerical,University of Texas at El Paso,140,Humanities
International Writing Workshop,Writing,"A.I. Policy
Like the class itself, our AI policy emphasizes the importance of maintaining academic integrity and developing essential writing skills without overly relying on outside assistance. 

Limited Use of AI for Feedback
Students are permitted to use gen-AI tools in three specific ways:
*To generate non-prescriptive, non-directive feedback on their work—like what one might get from a friend or study partner. Therefore, as a general rule, AI shouldn’t perform any task a classmate might refuse on ethical grounds. For example, a kind classmate may help you identify errors or ambiguities—and perhaps explain why readers might experience them as such—but would not make any revisions for you.  
*To restate, translate, or clarify course policies, procedures, and instructions, including feedback from your instructor and peers. However this policy does not extend to course readings or drafts written by your peers.  
*To demonstrate your understanding of skills and strategies practiced in class. See “Flex Points” options for more details. 

Transparency
Students must document and reflect on their use of AI in the reflective letters that accompany every formal draft. For example, if you use AI to clarify an assignment or to provide feedback, you must provide the transcript, then explain and reflect on how you evaluated and used the contained therein.

Don’t Outsource Any Writing Tasks
Students are prohibited from outsourcing any writing tasks to generative AI tools, including but not limited to brainstorming, outlining, translating, drafting, summarizing, paraphrasing, or copyediting. This course engages you in these labors not because the world needs more essays, but because it needs humans with the skills and knowledge that essay writing develops. 

Avoid Using AI as Search Engines
Students are cautioned against using generative AI tools as search engines, and should remember that these tools are fallible and lack transparency, meaning they frequently provide false information and are incapable of citing their sources. 

Responsibility for Content
Students who use generative AI tools to search for information will be expected to find independent verification of facts from authoritative and non-anonymous sources. Remember, you’re ultimately responsible for the veracity of your work. 

Translation software 
While it may be tempting to use translation software like Google Translate or DeepL, I suggest using resources like the Longman Learner Dictionary, class texts, and your own writing to improve your language skills. I won't accept written work created using translation software.",Alexander Landfair,Creative Commons 4.0 By Noncommerical,New York University,390,Humanities
Introduction to Professional Writing,Writing,"Hey everyone! I take a unique approach to writing and content creation compared to some other professors. To me, writing happens in a network between people and technology (not just you sitting in front of a computer typing away). AI is now part of this network, whether we want it to be or not.

My view is that AI will impact us no matter what. But we also have the power to shape how AI develops if we engage with it thoughtfully. This class gives you a safe space to creatively experiment with AI without shame, fear, or guilt.

⭐ I want to be clear: You will not be penalized just for using AI in this course. Unless I say otherwise for a specific assignment, feel free to try out AI writing assistants and generate content with these tools.

I'll share prompts and activities to guide your AI exploration. These are optional - use what's helpful to you! AI is not always the right or best choice for a given writing activity. We'll also discuss our experiences openly as a class to promote mindful AI integration.

While experimenting freely, keep these points in mind:

‣ AI can demonstrate biases and inaccuracies at times. Always validate the content before accepting it.

‣ Be cautious with data privacy. Don't input anything too personal or private. You can't control where it ends up. If you wouldn’t post it on the internet, don’t give it to an AI.

‣ Recognize the limitations. AI doesn't truly comprehend facts or meaning yet. It makes guesses, which means it can confidently provide false information.
AI content may initially seem impressive, but usually is not as good as you think it is. I call these AI goggles. Take care whenever using AI-generated text.

⭐ Also keep in mind that my AI-forward policy only applies to this class. Other professors likely have different rules. Using AI without permission could violate academic integrity policies. So always check the specific guidelines for each class first!

Let's explore AI as a creative tool to augment our skills, not replace them. I'm excited to see what we can discover together! Let me know if you ever have any other questions.",Lance Cummings,Public Domain,University of North Carolina Wilmington,367,Humanities
Introduction to Screenwriting,Writing,"[GENERAL POLICY]
Students are allowed to employ generative A.I. tools in specific exercises when instructed so, always under the following conditions:
1) All creative writing —including concept, dramatic design, and final text—, must be original of each student.
2)A.I. tools may be used only for assistance with research, brainstorming, and proofreading.
3) If an A.I. tool is actually used, an addendum must be turned in with each exercise, with a live link to the chat for accountability purposes.
4) The use of AI tools when not permitted, or their improper use, will be considered academic misconduct.

[DIRECTIONS FOR SPECIFIC EXERCISES]
1) A.I. Usage Level: Writing Assistant 
You may use ChatGPT only as a dictionary, thesaurus, and proofreader. 
2) A.I. Usage Level: Sounding Board
Feel free to use ChatGPT as a brainstorming buddy for developing, testing, and expanding your original ideas. 
3) A.I. Usage Level: Character Interview
Once you have created your character and its general description, you may feed it to ChatGPT and ask it to respond your questions in character. Then, query it about the aspects of your character you are still trying to figure out.
4) A.I. Usage Level: Prompt Generator 
Choose a character, a setting, and a subject of conflict. With these elements, you may ask ChatGPT to create a concise premise for a short scene. (Thereafter, you must write the scene on your own, only with Level 1 assistance if needed.)",Pablo Castrillo,Creative Commons 4.0 By Noncommerical & Share Alike,Universidad de Navarra,235,Humanities
PRWR6255 Grantwriting,Writing,"This course welcomes the thoughtful and ethical use of generative AI tools as part of your scholarly, creative, and professional work. AI can be a meaningful collaborator when used with purpose, transparency, and reflection, especially in a graduate-level setting where experimentation, metacognition, and digital fluency are expected.
You may use genAI tools under the following guidance:
•        Use must be disclosed. For each assignment, include a brief acknowledgment describing:
o        What AI tools you used
o        How you used them (e.g., brainstorming, outlining, rewriting, image generation)
o        Your estimate of how much of the final work was influenced by AI (e.g., 30% of initial draft, 10% of final polish)
•        Environmental reflection is required (resource provided by instructor). Include a short impact statement estimating:
o        Carbon emissions (CO₂ in grams or kilograms)
o        Water usage (liters)
o        Electricity usage (watt-hours)
Important Guidelines:
•        AI tools are not always accurate. They may hallucinate facts, fabricate citations, replicate bias, or generate unethical or offensive content. You are still the author of your work and are responsible for verifying, editing, and ensuring the quality and ethics of all submissions.
•        You are not required to formally cite AI tools, but you must acknowledge their contribution in your process
This policy reflects our commitment to both critical digital literacy and responsible AI collaboration. You are encouraged to ask questions and bring up ethical, creative, or technical concerns as they arise throughout the semester","Jeanne Beatrix Law
Graduate Certificate in AI & Writing Technologies",Public Domain,Kennesaw State University,239,Humanities
Rhetorical Theory and Criticism,Writing,"ChatGPT and other AI Assistants:  Use of Generative-AI tools should be used following the fundamental principles of the Honor Code. This includes being honest about the use of these tools for submitted work and including citations when using the work of others, whether individual people or Generative-AI tools. In this writing-intensive course I require you to submit your original writing which can be assisted and enhanced by use of ChatGPT and other AI Assistants. My requirements:

1)	As with ANY source, INFORMATION USED FROM SOURCES MUST BE CREDITED, using APA format. OpenAI is a source! (https://apastyle.apa.org/blog/how-to-cite-chatgpt). You can quote information and ideas, but you must give credit to the Large Language Model that is creating the output. Note that from a critical perspective and among available sources, ChatGPT and others don’t seem as credible in some ways as other evidence.

2)	Researching and Brainstorming, including explorations of the critical vocabulary, types of arguments, and different methods of analysis, is acceptable but AI assistance must be credited or acknowledged in an endnote/footnote. YOU ARE STILL RESPONSIBLE FOR THE TRUTH OF YOUR EVIDENCE, AND THAT ALL SOURCES OFFERED EXIST AND ARE NOT FABRICATED OR DISTORTED.

3)	Use of  AI to provide editorial comments on your writing drafts is acceptable BUT you must make the corrections and still provide original work in your paper submission, AND you must give credit or acknowledgement of AI assistance in an endnote/footnote.

4)	“Prompt, Copy, Paste” is considered Plagiarism.  Original work should be more than 50% of the submission and use must be acknowledge by footnote or citation. Substitution of AI for your own writing voice and experience is a huge mistake. While AI can be a wonderful writing assistant, it will be your responsibility to use it well and ethically, and to do the hard work of developing your writing skills so your own voice, your own creativity, your own skills can check the worst of AI and make it far more than what it is.

5)	ChatGPT and other AI Assistants can be used as learning tools, but know that these artificial assistants have significant limitations, including: 1) They are capable of addressing larger themes, but noticeably weak at specific critical analysis (the focus of our writing); 2) They are prone to MAKE UP sources and completely mishandle quotes (plagiarism AND a specific focus for grading); and 3) It is much more work to produce a coherent longer paper with structured main points that meet my requirements than to just write the paper yourself.  As a professional you may be put in situations where your writing skills might make the difference in real promotion and career opportunities, and using these tools as a SUBSTITUTE for your skill-building practice in this course will not serve you well.

The instructor reserves the right to submit student work or require students to submit work to a plagiarism or AI-detection service.  Plagiarism is representing another’s ideas or writing as your own, and can be avoided by properly attributing ideas and quotes to the correct source with a citation.",Star Muir,,George Mason University,509,Humanities
"SSU Writing In the Workplace, CU Writer's workshop/Learning From Experience NS First Year Seminar",Writing,"In this course, we’ll explore writing in the digital age, including how tools like generative AI (such as ChatGPT, GrammarlyGO, and other LLMs) are shaping how we write and think in education and the workplace. We will begin with a unit where we explore what Gen AI is and is not, how it works, different platforms, its pros and cons, and its ethical concerns.
Since AI policies differ across college courses, it’s important to understand that what’s allowed here may not be allowed in your other classes. This policy explains when and how you can use generative AI in THIS COURSE ONLY, and what is required when you do.
Rules for Using any form of Generative AI in ENL 314
Some use of generative AI is allowed in this class, but only in specific assignments and in specific ways. Every assignment will include a color-coded bar at the top indicating whether AI use is permitted. Do not use gen AI unless the assignment explicitly allows it. Ask me if you’re unsure. The full scale is below. (Could not provide in Google form)

Guidelines for Responsible AI Use
Only Use Gen AI When Permitted: Follow the specific generative AI instructions included in each assignment. Do not assume all writing tasks allow AI use: some assignments do not allow ANY use for our class.
Use AI to Support Your Learning, Not Replace It: Gen AI should NEVER replace your critical thinking, learning, or original writing in this course.
For example, it can be a tool for generating ideas, organizing your draft, improving clarity or conciseness, and creating citations (double-check them!), but it should not do critical thinking/creating/writing for you.


Acknowledge and Cite All Gen AI Contributions
If you use gen AI:
Create an Appendix at the end of your work
Include an Appendix at the end of your assignment with the following:
The name of the platform used (e.g., ChatGPT 4.0)
The exact prompt you entered
The raw AI output (its answers)
Any iterations and new AI output
Explain how and why you used the output


Cite AI-generated content in your text as follows: 
Word-for-word content: (ChatGPT 4.0 WFW)
Paraphrased content: (ChatGPT 4.0 PAR)
Do not use quotation marks for AI-generated content, but in-text citations are required.
When You Do NOT Need to Cite AI
Brainstorming ideas
Organizing or outlining
Proofreading or grammar/spellchecking
End Every Gen AI-Aided Assignment with a Personal Reflection
After the Appendix, include a 250-word minimum reflection, written entirely by you (no AI assistance). In this reflection, discuss:


How AI contributed to your process
What the AI helped you learn, and where it fell short
How this process helped you better understand writing and course content
This reflection is graded for insight, honesty, and depth


REMEMBER: This policy is only for ENL 314 during this specific semester with this specific professor (Fyfe). Your other classes have their own Gen AI policy.
Do not assume other professors will allow or tolerate the use of AI, even if it's encouraged here.
You may not use this policy as a defense for using AI in another course.
Unacknowledged or improperly cited AI use will be considered plagiarism.
If you are unsure about how or whether to use AI for a specific assignment, ask before you submit. Using AI incorrectly can result in a violation of the academic integrity policy.

Adapted from George Goga, SUNY Geneseo Rights: Public Domain",Sandra Fyfe,,"Salem State University, College Unbound, North Shore Community College",566,Humanities
